"filename", "language", "Go", "Go Module File", "Go Checksum File", "comment", "blank", "total"
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/ecdsa/keygen.go", "Go", 23, 0, 0, 0, 8, 31
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/ecdsa/keyimport.go", "Go", 84, 0, 0, 0, 28, 112
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/ecdsa/marshal.go", "Go", 80, 0, 0, 0, 22, 102
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/ecdsa/marshal_test.go", "Go", 88, 0, 0, 0, 24, 112
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/ecdsa/options.go", "Go", 81, 0, 0, 0, 31, 112
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/hash/hash.go", "Go", 19, 0, 0, 0, 7, 26
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/hash/options.go", "Go", 48, 0, 0, 0, 18, 66
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/impl.go", "Go", 216, 0, 0, 0, 55, 271
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/impl_test.go", "Go", 183, 0, 0, 0, 43, 226
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/keystore/keystore.go", "Go", 136, 0, 0, 0, 20, 156
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/keystore/keystore_test.go", "Go", 89, 0, 0, 0, 15, 104
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/tlsca/ca.go", "Go", 43, 0, 0, 0, 12, 55
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/tlsca/cagen.go", "Go", 19, 0, 0, 0, 5, 24
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/tlsca/keypair.go", "Go", 134, 0, 0, 0, 20, 154
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/tlsca/keypair_test.go", "Go", 81, 0, 0, 0, 13, 94
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/tlsca/options.go", "Go", 15, 0, 0, 0, 6, 21
